X,Y,ADDRTYPE,FATALITIES,INATTENTIONIND,INCDATE,YEAR,INJURIES,LIGHTCOND,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,ROADCOND,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,UNDERINFL,VEHCOUNT,WEATHER,PEDORBIKECOUNT
-122.3349346,47.60326856,Intersection,0,,2016/12/19 00:00:00+00,2016,1,Dark - Street Lights On,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3814567,47.55925332,Intersection,0,Y,2017/03/09 00:00:00+00,2017,1,Daylight,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3543618,47.67457016,Intersection,0,,2017/01/19 00:00:00+00,2017,1,Dark - Street Lights On,0,1,,0,Wet,0,2,Injury Collision,,N,1,Overcast,1
-122.3342019,47.57772754,Intersection,0,,2017/02/24 00:00:00+00,2017,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.347105,47.61724328,Intersection,0,,2017/03/09 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,2,Wet,1,2b,Serious Injury Collision,,N,1,Overcast,1
-122.2949076,47.60799436,Intersection,0,,2017/02/10 00:00:00+00,2017,1,Daylight,1,0,,2,Wet,0,2,Injury Collision,,N,1,Overcast,1
-122.3821336,47.66550551,Intersection,0,Y,2017/02/11 00:00:00+00,2017,1,Dark - Street Lights On,0,1,,2,Dry,0,2,Injury Collision,,Y,1,Clear,1
-122.3450853,47.73306346,Block,0,,2016/10/31 00:00:00+00,2016,1,Dusk,1,0,,2,Dry,0,2,Injury Collision,,N,1,Overcast,1
-122.3217575,47.68021033,Intersection,0,Y,2017/03/10 00:00:00+00,2017,1,Daylight,0,1,,2,Dry,0,2,Injury Collision,,N,1,Overcast,1
-122.3350596,47.62461807,Block,0,,2017/01/25 00:00:00+00,2017,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3477718,47.73167697,Block,0,,2017/01/30 00:00:00+00,2017,1,Dusk,0,1,,2,Dry,0,2,Injury Collision,,N,1,Overcast,1
-122.3264167,47.60485688,Block,0,,2017/01/24 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,2,Dry,1,2b,Serious Injury Collision,,Y,1,Clear,1
-122.270274,47.53695788,Intersection,0,,2017/02/18 00:00:00+00,2017,1,Daylight,1,0,,0,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3175712,47.59582098,Block,0,,2016/12/26 00:00:00+00,2016,1,Dusk,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
